date,tem,hum
2022-08-31 21:00,20.4,94
2022-08-31 22:00,20.1,95
2022-08-31 23:00,20.0,95
2022-09-01 0:00,19.9,95
2022-09-01 1:00,20.0,95
2022-09-01 2:00,20.1,94
2022-09-01 3:00,20.1,94
2022-09-01 4:00,20.2,93
2022-09-01 5:00,20.1,92
2022-09-01 6:00,20.1,92
2022-09-01 7:00,20.1,92
2022-09-01 8:00,20.7,87
2022-09-01 9:00,21.1,88
2022-09-01 10:00,21.7,82
2022-09-01 11:00,23.6,75
2022-09-01 12:00,24.9,67
2022-09-01 13:00,25.1,67
2022-09-01 14:00,25.9,65
2022-09-01 15:00,26.7,62
2022-09-01 16:00,27.4,57
2022-09-01 17:00,26.7,66
2022-09-01 18:00,25.1,68
2022-09-01 19:00,23.9,65
2022-09-01 20:00,23.1,70
2022-09-01 21:00,21.8,81
2022-09-01 22:00,20.9,84
2022-09-01 23:00,20.2,87
2022-09-02 0:00,19.7,89
2022-09-02 1:00,19.5,89
2022-09-02 2:00,18.8,91
2022-09-02 3:00,18.4,93
2022-09-02 4:00,18.4,93
2022-09-02 5:00,18.6,90
2022-09-02 6:00,18.9,90
2022-09-02 7:00,19.4,86
2022-09-02 8:00,21.0,78
2022-09-02 9:00,21.8,74
2022-09-02 10:00,24.3,65
2022-09-02 11:00,25.5,60
2022-09-02 12:00,25.3,62
2022-09-02 13:00,25.7,60
2022-09-02 14:00,25.3,60
2022-09-02 15:00,26.3,61
2022-09-02 16:00,26.4,57
2022-09-02 17:00,25.5,58
2022-09-02 18:00,24.7,61
2022-09-02 19:00,24.0,63
2022-09-02 20:00,23.5,63
2022-09-02 21:00,23.1,66
2022-09-02 22:00,22.8,65
2022-09-02 23:00,22.9,65
2022-09-03 0:00,22.3,69
2022-09-03 1:00,22.2,69
2022-09-03 2:00,22.0,72
2022-09-03 3:00,21.9,72
2022-09-03 4:00,21.9,73
2022-09-03 5:00,21.9,72
2022-09-03 6:00,21.4,75
2022-09-03 7:00,22.5,71
2022-09-03 8:00,22.6,70
2022-09-03 9:00,25.0,63
2022-09-03 10:00,25.3,66
2022-09-03 11:00,25.3,69
2022-09-03 12:00,25.6,65
2022-09-03 13:00,26.3,63
2022-09-03 14:00,25.7,66
2022-09-03 15:00,25.6,66
2022-09-03 16:00,25.1,68
2022-09-03 17:00,24.4,70
2022-09-03 18:00,23.8,69
2022-09-03 19:00,23.4,69
2022-09-03 20:00,23.0,71
2022-09-03 21:00,22.5,73
2022-09-03 22:00,20.8,86
2022-09-03 23:00,21.2,81
2022-09-04 0:00,21.5,79
2022-09-04 1:00,21.4,79
2022-09-04 2:00,21.5,78
2022-09-04 3:00,21.6,79
2022-09-04 4:00,21.6,78
2022-09-04 5:00,21.7,79
2022-09-04 6:00,22.0,78
2022-09-04 7:00,21.7,80
2022-09-04 8:00,22.1,79
2022-09-04 9:00,22.0,83
2022-09-04 10:00,23.1,81
2022-09-04 11:00,24.8,78
2022-09-04 12:00,25.5,76
2022-09-04 13:00,27.1,72
2022-09-04 14:00,27.4,72
2022-09-04 15:00,27.4,73
2022-09-04 16:00,27.7,73
2022-09-04 17:00,27.6,75
2022-09-04 18:00,27.4,77
2022-09-04 19:00,27.0,75
2022-09-04 20:00,26.6,77
2022-09-04 21:00,26.1,78
2022-09-04 22:00,25.5,74
2022-09-04 23:00,24.8,78
2022-09-05 0:00,23.6,87
2022-09-05 1:00,23.0,93
2022-09-05 2:00,22.8,94
2022-09-05 3:00,22.6,94
2022-09-05 4:00,22.5,93
2022-09-05 5:00,22.2,95
2022-09-05 6:00,22.2,95
2022-09-05 7:00,22.1,95
2022-09-05 8:00,22.4,95
2022-09-05 9:00,23.0,93
2022-09-05 10:00,23.5,92
2022-09-05 11:00,24.2,91
2022-09-05 12:00,24.9,91
2022-09-05 13:00,25.3,88
2022-09-05 14:00,25.1,90
2022-09-05 15:00,24.5,92
2022-09-05 16:00,24.2,93
2022-09-05 17:00,24.1,94
2022-09-05 18:00,23.9,94
2022-09-05 19:00,23.4,93
2022-09-05 20:00,22.5,93
2022-09-05 21:00,20.6,93
2022-09-05 22:00,19.3,94
2022-09-05 23:00,18.8,94
2022-09-06 0:00,18.7,95
2022-09-06 1:00,18.9,94
2022-09-06 2:00,18.6,93
2022-09-06 3:00,18.0,94
2022-09-06 4:00,17.5,94
2022-09-06 5:00,17.2,93
2022-09-06 6:00,17.3,91
2022-09-06 7:00,17.5,93
2022-09-06 8:00,17.8,91
2022-09-06 9:00,18.3,91
2022-09-06 10:00,18.8,88
2022-09-06 11:00,20.2,81
2022-09-06 12:00,21.7,73
2022-09-06 13:00,23.2,66
2022-09-06 14:00,25.3,58
2022-09-06 15:00,25.1,58
2022-09-06 16:00,25.8,56
2022-09-06 17:00,25.3,52
2022-09-06 18:00,24.2,57
2022-09-06 19:00,22.4,66
2022-09-06 20:00,21.2,73
2022-09-06 21:00,19.4,82
2022-09-06 22:00,17.9,90
2022-09-06 23:00,17.5,91
2022-09-07 0:00,17.5,92
2022-09-07 1:00,17.6,93
2022-09-07 2:00,16.9,94
2022-09-07 3:00,16.3,94
2022-09-07 4:00,16.3,95
2022-09-07 5:00,16.0,95
2022-09-07 6:00,15.9,95
2022-09-07 7:00,16.5,95
2022-09-07 8:00,18.7,88
2022-09-07 9:00,20.8,82
2022-09-07 10:00,22.7,72
2022-09-07 11:00,24.1,64
2022-09-07 12:00,25.4,50
2022-09-07 13:00,26.0,40
2022-09-07 14:00,27.3,42
2022-09-07 15:00,27.6,37
2022-09-07 16:00,27.6,41
2022-09-07 17:00,27.2,45
2022-09-07 18:00,24.2,42
2022-09-07 19:00,21.8,56
2022-09-07 20:00,20.3,61
2022-09-07 21:00,20.0,54
2022-09-07 22:00,19.3,60
2022-09-07 23:00,18.0,68
2022-09-08 0:00,17.1,74
2022-09-08 1:00,16.3,79
2022-09-08 2:00,15.9,82
2022-09-08 3:00,15.1,87
2022-09-08 4:00,15.1,88
2022-09-08 5:00,14.7,91
2022-09-08 6:00,14.4,92
2022-09-08 7:00,15.4,89
2022-09-08 8:00,17.7,77
2022-09-08 9:00,21.0,73
